Motor Name,Kv,Max Watts,Max RPM,Poles,Idle Current,Resistance,Weight,Length Metric,Diameter Metric,Shaft Diameter,Length*Diam,Length*Diam^2,Length*Diam*Kv,Length*Diam^2*Kv,x var,,6,31,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Scorpion SII-2205-1585KV (V2),1585,110,,,0.47,182,35,23,27.9,2.98,641.7,17903.43,1017094.5,28376936.55,1.45684E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-2205-1490KV (V2),1490,110,,,0.42,188,35,23,27.9,2.98,641.7,17903.43,956133,26676110.7,1.54972E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion S-1805-2250KV,2250,45,,,0.25,400,16,18,23,2.98,414,9522,931500,21424500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-2208-1100KV (V2),1100,133,,,0.41,170,45,26,27.9,2.98,725.4,20238.66,797940,22262526,1.50286E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-2208-1280KV (V2),1280,155,,,0.47,150,45,26,27.9,2.98,725.4,20238.66,928512,25905484.8,1.39425E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion S-2503-1610KV (F3P Special),1610,72,,,0.35,180,20,20.57,30.1,2.98,619.157,18636.6257,996842.77,30004967.38,1.47363E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion S-2503-1960KV (F3P Special),1960,80,,,0.44,135,20,20.57,30.1,2.98,619.157,18636.6257,1213547.72,36527786.37,1.27596E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-2212-885KV (V2),885,192,,,0.41,151,58,30,27.9,2.98,837,23352.3,740745,20666785.5,1.36011E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-2212-960KV (V2),960,192,,,0.51,139,58,30,27.9,2.98,837,23352.3,803520,22418208,1.25385E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-2212-1070KV (V2),1070,222,,,0.59,91,58,30,27.9,2.98,837,23352.3,895590,24986961,1.20965E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-2212-1850KV (V2),1850,326,,,1.31,32,58,30,27.9,2.98,837,23352.3,1548450,43201755,8.47821E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-2212-1400kv (V2),1400,370,,,0.73,91,58,30,27.9,2.98,837,23352.3,1171800,32693220,1.19355E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-2215-900KV (V2),900,237,,,0.52,142,68,33,27.9,2.98,920.7,25687.53,828630,23118777,1.06445E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-2215-1127KV (V2),1127,296,,,0.73,78,68,33,27.9,2.98,920.7,25687.53,1037628.9,28949846.31,9.49981E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-2215-1810KV (V2),1810,370,,,1.35,31,68,33,27.9,2.98,920.7,25687.53,1666467,46494429.3,6.61325E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-2215-1400KV (V2),1400,518,,,0.95,95,68,33,27.9,2.98,920.7,25687.53,1288980,35962542,1.01165E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3008-1090KV (V2),1090,370,,,0.79,58,95,33.75,37.5,4.98,1265.625,47460.9375,1379531.25,51732421.88,5.61893E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3008-1220KV (V2),1220,425,,,0.97,42,95,33.75,37.5,4.98,1265.625,47460.9375,1544062.5,57902343.75,5.38039E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3014-830KV (V2),830,550,,,1.06,42,129,39.75,37.5,4.98,1490.625,55898.4375,1237218.75,46395703.13,5.07412E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3014-1040KV (V2),1040,600,,,1.35,26,129,39.75,37.5,4.98,1490.625,55898.4375,1550250,58134375,4.2296E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3014-1220KV (V2),1220,640,,,1.64,18,129,39.75,37.5,4.98,1490.625,55898.4375,1818562.5,68196093.75,3.72381E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3020-780KV (V2),780,800,,,1.21,30,166,45.75,37.5,4.98,1715.625,64335.9375,1338187.5,50182031.25,3.98125E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3020-890KV (V2),890,780,,,1.42,20,166,45.75,37.5,4.98,1715.625,64335.9375,1526906.25,57258984.38,3.44529E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3020-1110KV (V2),1110,840,,,2.08,16,166,45.75,37.5,4.98,1715.625,64335.9375,1904343.75,71412890.63,2.86672E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turbax Conversion Kit w/ HK4035-800,800,4200,,,2.5,10,574,61.5,48.9,4.98,3007.35,147059.415,2405880,117647532,1.85718E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3026-710KV (V2),710,1000,,,1.56,22,205,51.75,37.5,4.98,1940.625,72773.4375,1377843.75,51669140.63,3.17682E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3026-890KV (V2),890,1025,,,1.9,14,205,51.75,37.5,4.98,1940.625,72773.4375,1727156.25,64768359.38,2.5658E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3026-1190KV (V2),1190,1050,,,3.26,8,205,51.75,37.5,4.98,1940.625,72773.4375,2309343.75,86600390.63,1.94222E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4020-420KV,420,1500,,,0.91,32,288,46.15,48.9,5.98,2256.735,110354.3415,947828.7,46348823.43,5.77534E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4020-540KV,540,1850,,,1.22,20,288,46.15,48.9,5.98,2256.735,110354.3415,1218636.9,59591344.41,4.98854E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4020-630KV,630,1500,,,1.54,15,288,46.15,48.9,5.98,2256.735,110354.3415,1421743.05,69523235.15,3.85023E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4025-330KV,330,2000,,,0.74,37,353,54.1,48.9,5.98,2645.49,129364.461,873011.7,42690272.13,4.86623E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4025-440KV,440,2000,,,1.1,25,353,54.1,48.9,5.98,2645.49,129364.461,1164015.6,56920362.84,3.64967E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4025-520KV,520,2000,,,1.4,16,353,54.1,48.9,5.98,2645.49,129364.461,1375654.8,67269519.72,3.08819E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3032-690KV (V2),690,1025,,,2.71,22,275,62.5,37.5,4.98,2343.75,87890.625,1617187.5,60644531.25,1.7095E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3032-880KV (V2),880,1050,,,3.12,12,275,62.5,37.5,4.98,2343.75,87890.625,2062500,77343750,1.35665E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4035-250KV,250,2700,,,0.69,37,450,64.9,48.8,7.98,3167.12,154555.456,791780,38638864,3.9632E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4035-330KV,330,2400,,,1.41,31,435,64.9,48.8,7.98,3167.12,154555.456,1045149.6,51003300.48,2.83071E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4035-380KV,380,2600,,,1.52,25,435,64.9,48.8,7.98,3167.12,154555.456,1203505.6,58731073.28,2.55863E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4035-450KV,450,2960,,,1.71,26,435,64.9,48.8,7.98,3167.12,154555.456,1425204,69549955.2,2.30535E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-5525-170KV,170,2450,,,0.78,42,708,59.82,66.4,8,3972.048,263743.9872,675248.16,44836477.82,3.98874E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-5525-210KV,210,3150,,,1.11,26,708,59.82,66.4,8,3972.048,263743.9872,834130.08,55386237.31,3.66132E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-5525-195KV,195,2800,,,0.88,34,708,59.82,66.4,8,3972.048,263743.9872,774549.36,51430077.5,3.71746E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion S-5028-220KV (F3A Limited Series),220,2590,,,0.98,32,576,60,59.8,8,3588,214562.4,789360,47203728,3.8663E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-5535-160KV,160,3750,,,1.11,27,906,69.52,66.4,8,4616.128,306510.8992,738580.48,49041743.87,3.09867E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-5535-190KV,190,3900,,,1.24,22,906,69.52,66.4,7.98,4616.128,306510.8992,877064.32,58237070.85,2.66108E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-6530-180KV,180,4884,,,1.26,22,1043,70.4,76.6,8,5392.64,413076.224,970675.2,74353720.32,2.26023E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-6530-150KV,150,4220,,,1.15,32,1043,70.4,76.6,8,5392.64,413076.224,808896,61961433.6,2.52118E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
