Motor Name,Kv,Max Watts,Max RPM,Timing,Switching Frequency,Poles,Idle Current,__Idle Voltage,Resistance,Weight,Length Metric,Diameter Metric,Shaft Diameter,Link,Length*Diam,Length*Diam^2,Length*Diam*Kv,Length*Diam^2*Kv,Predicted Diam,Diam_pred,,1,Length_pred,,,,,Rm_pred,error%,residuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3032-690KV (V2),690,1025,,,,,2.71,,22,275,62.5,37.5,4.98,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/s-30_v2/SII-3032-690KV/,2343.75,87890.625,1617187.5,60644531.25,0.00097561,4.135949343E+01,1025,1.64895E-08,53.44760911,9.142789150E+04,1.093758134E-05,,,3.119229018E+01,0.417831372,9.192290176E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-3032-880KV (V2),880,1050,,,,,3.12,,12,275,62.5,37.5,4.98,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/s-30_v2/SII-3032-880KV/,2343.75,87890.625,2062500,77343750,0.000952381,4.165167266E+01,1050,1.29293E-08,53.75881878,9.326412300E+04,1.072223667E-05,,,3.110518379E+01,1.592098649,1.910518379E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4035-250KV,250,2700,,,,,0.69,,37,450,64.9,48.8,7.98,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/sii-40/SII-4035-250/,3167.12,154555.456,791780,38638864,0.00037037,5.981059747E+01,2700,2.58807E-08,67.27287137,2.406557520E+05,4.155313105E-06,,,3.076298852E+01,-0.168567878,-6.237011481E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4035-330KV,330,2400,,,,,1.41,,31,435,64.9,48.8,7.98,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/sii-40/SII-4035-330/,3167.12,154555.456,1045149.6,51003300.48,0.000416667,5.667381831E+01,2400,1.96066E-08,65.38698474,2.100178740E+05,4.761499490E-06,,,3.088752702E+01,-0.003628161,-1.124729811E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4035-380KV,380,2600,,,,,1.52,,25,435,64.9,48.8,7.98,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/sii-40/SII-4035-380/,3167.12,154555.456,1203505.6,58731073.28,0.000384615,5.877314484E+01,2600,1.70268E-08,66.65740928,2.302535260E+05,4.343038812E-06,,,3.080987986E+01,0.232395194,5.809879855E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-4035-450KV,450,2960,,,,,1.71,,26,435,64.9,48.8,7.98,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/sii-40/SII-4035-450/,3167.12,154555.456,1425204,69549955.2,0.000337838,6.246987714E+01,2960,1.43782E-08,68.82507678,2.685888676E+05,3.723162501E-06,,,3.062315978E+01,0.177813838,4.623159784E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-5525-170KV,170,2450,,,,,0.78,,42,708,59.82,66.4,8,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/sii-55/S-5525-170KV/,3972.048,263743.9872,675248.16,44836477.82,0.000408163,5.720170260E+01,2450,2.23033E-08,65.71008605,2.150056870E+05,4.651039765E-06,,,3.087042359E+01,-0.264989914,-1.112957641E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-5525-210KV,210,3150,,,,,1.11,,26,708,59.82,66.4,8,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/sii-55/S-5525-210KV/,3972.048,263743.9872,834130.08,55386237.31,0.00031746,6.437839660E+01,3150,1.8055E-08,69.92559257,2.898120690E+05,3.450511925E-06,,,3.050991076E+01,0.173458106,4.509910764E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-5525-195KV,195,2800,,,,,0.88,,34,708,59.82,66.4,8,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/sii-55/S-5525-195KV/,3972.048,263743.9872,774549.36,51430077.5,0.000357143,6.083990968E+01,2800,1.94439E-08,67.87733185,2.512475780E+05,3.980137870E-06,,,3.071187127E+01,-0.096709668,-3.288128728E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion S-5028-220KV (F3A Limited Series),220,2590,,,,,0.98,,32,576,60,59.8,8,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/s-50/s_5028_220/,3588,214562.4,789360,47203728,0.0003861,5.866895185E+01,2590,2.11848E-08,66.5951987,2.292237314E+05,4.362550046E-06,,,3.081430476E+01,-0.037052976,-1.185695241E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-5535-160KV,160,3750,,,,,1.11,,27,906,69.52,66.4,8,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/sii-55/S-5535-160KV/,4616.128,306510.8992,738580.48,49041743.87,0.000266667,7.021237216E+01,3750,2.03908E-08,73.29463585,3.613262250E+05,2.767582121E-06,,,3.012985743E+01,0.115920646,3.129857430E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-5535-190KV,190,3900,,,,,1.24,,22,906,69.52,66.4,7.98,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/sii-55/S-5535-190KV/,4616.128,306510.8992,877064.32,58237070.85,0.00025641,7.162507618E+01,3900,1.71712E-08,74.12476244,3.802712640E+05,2.629701728E-06,,,3.003485393E+01,0.365220633,8.034853927E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-6530-180KV,180,4884,,,,,1.26,,22,1043,70.4,76.6,8,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/sii-65/SII-6530-180KV/,5392.64,413076.224,970675.2,74353720.32,0.00020475,8.043823764E+01,4884,1.34492E-08,79.61427332,5.151290347E+05,1.941261184E-06,,,2.945785235E+01,0.338993289,7.457852350E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion SII-6530-150KV,150,4220,,,,,1.15,,32,1043,70.4,76.6,8,http://www.scorpionsystem.com/catalog/aeroplane/motors_1/sii-65/SII-6530-150KV/,5392.64,413076.224,808896,61961433.6,0.000236967,7.457762878E+01,4220,1.61391E-08,75.89474905,4.221131392E+05,2.369033103E-06,,,2.983705921E+01,-0.0675919,-2.162940787E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
