Company,Motor Name,Kv,Max Watts,Max RPM,Poles,Idle Current,Resistance,Weight,Length Metric,Diameter Metric,,,
Axi,AXI 2808/16 GOLD LINE V2 LONG,1820,170,,,2,75,85,39,35,4.43411E-05,,
Axi,,1490,256,,,1.2,105,85,39,35,4.34628E-05,,
Axi,AXI 2808/24 GOLD LINE V2 LONG,1190,232,,,1,115,85,39,35,4.24966E-05,,
Axi,,1820,170,,,2,75,77,31.5,35,5.48985E-05,,
Axi,AXI 2808/20 GOLD LINE V2,1490,256,,,1.3,105,77,31.5,35,5.38111E-05,,
Axi,,1190,232,,,1,115,77,31.5,35,5.26148E-05,,
Axi,AXI 2814/10 GOLD LINE V2 LONG,1640,460,,,2.2,37,115,45,35,3.80308E-05,,
Axi,,1390,360,,,1.7,53,115,45,35,3.7407E-05,,
Axi,AXI 2814/16 GOLD LINE V2 LONG,1035,325,,,1,85,115,45,35,3.632E-05,,
Axi,,840,355,,,0.6,145,115,45,35,3.55696E-05,,
Axi,AXI 2820/8 GOLD LINE V2 LONG,1500,565,,,3.2,26,158,52,35,3.26189E-05,,
Axi,,1200,585,,,2.2,39,158,52,35,3.18991E-05,,
Axi,AXI 2820/12 GOLD LINE V2 LONG,990,650,,,1.6,59,158,52,35,3.12913E-05,,
Axi,,860,520,,,1.6,78,158,52,35,3.08539E-05,,
Axi,AXI 2814/6D GOLD LINE V2,2850,550,,,4.5,22,107,37.5,35,4.823E-05,,
Axi,,1640,460,,,2.3,37,107,37.5,35,4.5637E-05,,
Axi,AXI 2814/12 GOLD LINE V2,1390,360,,,1.8,53,107,37.5,35,4.48884E-05,,
Axi,,1035,325,,,1,85,107,37.5,35,4.3584E-05,,
Axi,AXI 2814/20 GOLD LINE V2,840,355,,,0.7,145,107,37.5,35,4.26836E-05,,
Axi,,1500,565,,,3.3,26,148,46,35,3.68736E-05,,
Axi,AXI 2820/10 GOLD LINE V2,1200,585,,,2.3,39,148,46,35,3.60599E-05,,
Axi,,990,650,,,1.7,59,148,46,35,3.53728E-05,,
Axi,AXI 2820/14 GOLD LINE V2,860,520,,,1.7,78,148,44,35,3.64637E-05,,
Axi,,760,655,,,1.2,62,187,57.5,35,2.75599E-05,,
Axi,AXI 4120/14 GOLD LINE V2,660,1015,,,1.9,41,315,54.4,49,1.46542E-05,,
Axi,,515,1500,,,1.3,70,315,54.4,49,1.42952E-05,,
Axi,AXI 4120/20 GOLD LINE V2,465,1160,,,1.4,82,315,54.4,49,1.41499E-05,,
Axi,,385,1780,,,1.2,63,410,64.4,49,1.17292E-05,,
Axi,AXI 4130/20 GOLD LINE V2,305,1650,,,1.1,99,410,64.4,49,1.14591E-05,,
Axi,,370,1850,,,1.3,23,515,59.2,63,7.68807E-06,,
Axi,AXI 5320/28 GOLD LINE V2,249,1600,,,1.3,57,515,59.2,63,7.38954E-06,,
Axi,,206,1850,,,1.1,84,515,59.2,63,7.25077E-06,,
Axi,AXI 5325/18 GOLD LINE V2,308,2440,,,1.6,32,595,63.2,63,7.07061E-06,,
Axi,,280,2430,,,1.9,37,595,63.2,63,7.00354E-06,,
Axi,AXI 5325/24 GOLD LINE V2,232,2850,,,1.6,45,595,63.2,63,6.87307E-06,,
Axi,,350,2650,,,2,26,595,63.2,63,7.16158E-06,,
Axi,AXI 5320/18 3D EXTREME KV370 V2,370,1900,,,1.3,23,530,55.2,63,8.24518E-06,,
Axi,,259,2870,,,1.9,32,672,68.2,63,6.43968E-06,,
Axi,AXI 5330/24 GOLD LINE V2,197,2220,,,1.4,57,672,68.2,63,6.26587E-06,,
Axi,,235,2780,,,1.7,45,672,68.2,63,6.37737E-06,,
Axi,AXI 5325/16 3D EXTREME KV350 V2,350,2700,,,2,26,640,61.2,63,7.39561E-06,,
Axi,,280,2500,,,1.9,37,640,61.2,63,7.23241E-06,,
Axi,AXI 5330/24 3D EXTREME KV197 V2,197,2500,,,1.4,57,690,65.2,63,6.55417E-06,,
Axi,,235,2900,,,1.7,45,690,65.2,63,6.6708E-06,,
Axi,AXI 5345/14 HD GOLD LINE V2,225,4200,,,2.5,27,995,84.3,63,5.137E-06,,
Axi,,195,4195,,,2,34,995,84.3,63,5.06401E-06,,
Axi,AXI 5345/18 HD GOLD LINE V2,171,3510,,,1.5,42,995,84.3,63,4.99794E-06,,
Axi,,145,3870,,,1.5,42,995,84.3,63,4.91618E-06,,
Axi,AXI 5345/16 HD SAILPLANE GOLD LINE V2,195,4195,,,2,34,995,84.3,63,5.06401E-06,,
Axi,,171,3500,,,1.5,42,995,84.3,63,4.99794E-06,,
Axi,AXI 2808/24 CYCLONE,1190,240,,,1,115,130,57,40,2.22618E-05,,
Axi,,840,365,,,0.6,145,164,63,40,1.94521E-05,,
Axi,AXI 2814/16 CYCLONE,1035,335,,,1,85,164,63,40,1.98625E-05,,
Axi,,860,530,,,1.6,78,197,69,40,1.78025E-05,,
Axi,AXI 2820/12 CYCLONE,990,660,,,1.6,59,158,69,40,1.80549E-05,,
Axi,,760,665,,,1.2,62,230,75,40,1.61771E-05,,
Axi,AXI 2826/10 CYCLONE,920,675,,,1.2,42,230,75,40,1.64891E-05,,
Scorpion,Scorpion SII-2205-1900KV (V2),1900,130,,,0.58,128,35,23,27.9,0.000118834,,
Scorpion,Scorpion SII-2205-1585KV (V2),1585,110,,,0.47,182,35,23,27.9,0.000116699,,
Scorpion,Scorpion SII-2205-1490KV (V2),1490,110,,,0.42,188,35,23,27.9,0.00011598,,
Scorpion,Scorpion SII-2208-1100KV (V2),1100,133,,,0.41,170,45,26,27.9,9.95308E-05,,
Scorpion,Scorpion SII-2208-1280KV (V2),1280,155,,,0.47,150,45,26,27.9,0.000101051,,
Scorpion,Scorpion S-2503-1610KV (F3P Special),1610,72,,,0.35,180,20,20.57,30.1,0.000112283,,
Scorpion,Scorpion S-2503-1960KV (F3P Special),1960,80,,,0.44,135,20,20.57,30.1,0.000114514,,
Scorpion,Scorpion SII-2212-885KV (V2),885,192,,,0.41,151,58,30,27.9,8.44043E-05,,
Scorpion,Scorpion SII-2212-960KV (V2),960,192,,,0.51,139,58,30,27.9,8.50937E-05,,
Scorpion,Scorpion SII-2212-1070KV (V2),1070,222,,,0.59,91,58,30,27.9,8.60218E-05,,
Scorpion,Scorpion SII-2212-1850KV (V2),1850,326,,,1.31,32,58,30,27.9,9.08631E-05,,
Scorpion,Scorpion SII-2212-1400kv (V2),1400,370,,,0.73,91,58,30,27.9,8.83656E-05,,
Scorpion,Scorpion SII-2215-900KV (V2),900,237,,,0.52,142,68,33,27.9,7.68603E-05,,
Scorpion,Scorpion SII-2215-1127KV (V2),1127,296,,,0.73,78,68,33,27.9,7.86086E-05,,
