Company,Motor Name,Kv,Max Watts,Max RPM,Poles,Idle Current,Resistance,Weight,Length Metric,Diameter Metric,x,1/resistance
Scorpion,Scorpion SII-3014-830KV (V2),830,550,,,1.06,42,129,39.75,37.5,0.055358257,0.023809524
Scorpion,Scorpion SII-3014-1040KV (V2),1040,600,,,1.35,26,129,39.75,37.5,0.056621052,0.038461538
Scorpion,Scorpion SII-3014-1220KV (V2),1220,640,,,1.64,18,129,39.75,37.5,0.057532147,0.055555556
Scorpion,Scorpion SII-3020-780KV (V2),780,800,,,1.21,30,166,45.75,37.5,0.06331958,0.033333333
Scorpion,Scorpion SII-3020-890KV (V2),890,780,,,1.42,20,166,45.75,37.5,0.064160474,0.05
Scorpion,Scorpion SII-3020-1110KV (V2),1110,840,,,2.08,16,166,45.75,37.5,0.065593508,0.0625
Scorpion,Turbax Conversion Kit w/ HK4035-800,800,4200,,,2.5,10,574,61.5,48.9,0.05018413,0.1
Scorpion,Scorpion SII-3026-710KV (V2),710,1000,,,1.56,22,205,51.75,37.5,0.070953472,0.045454545
Scorpion,Scorpion SII-3026-890KV (V2),890,1025,,,1.9,14,205,51.75,37.5,0.072574962,0.071428571
Scorpion,Scorpion SII-3026-1190KV (V2),1190,1050,,,3.26,8,205,51.75,37.5,0.074714091,0.125
Scorpion,Scorpion SII-4020-420KV,420,1500,,,0.91,32,288,46.15,48.9,0.035308471,0.03125
Scorpion,Scorpion SII-4020-540KV,540,1850,,,1.22,20,288,46.15,48.9,0.036207068,0.05
Scorpion,Scorpion SII-4020-630KV,630,1500,,,1.54,15,288,46.15,48.9,0.036769527,0.066666667
Scorpion,Scorpion SII-4025-330KV,330,2000,,,0.74,37,353,54.1,48.9,0.040404612,0.027027027
Scorpion,Scorpion SII-4025-440KV,440,2000,,,1.1,25,353,54.1,48.9,0.041583861,0.04
Scorpion,Scorpion SII-4025-520KV,520,2000,,,1.4,16,353,54.1,48.9,0.042284372,0.0625
Scorpion,Scorpion SII-3032-690KV (V2),690,1025,,,2.71,22,275,62.5,37.5,0.085448096,0.045454545
Scorpion,Scorpion SII-3032-880KV (V2),880,1050,,,3.12,12,275,62.5,37.5,0.087551935,0.083333333
Scorpion,Scorpion SII-4035-250KV,250,2700,,,0.69,37,450,64.9,48.8,0.047336817,0.027027027
Scorpion,Scorpion SII-4035-330KV,330,2400,,,1.41,31,435,64.9,48.8,0.048669451,0.032258065
Scorpion,Scorpion SII-4035-380KV,380,2600,,,1.52,25,435,64.9,48.8,0.049360939,0.04
Scorpion,Scorpion SII-4035-450KV,450,2960,,,1.71,26,435,64.9,48.8,0.050202611,0.038461538
Scorpion,Scorpion SII-5525-170KV,170,2450,,,0.78,42,708,59.82,66.4,0.02267541,0.023809524
Scorpion,Scorpion SII-5525-210KV,210,3150,,,1.11,26,708,59.82,66.4,0.02315966,0.038461538
Scorpion,Scorpion SII-5525-195KV,195,2800,,,0.88,34,708,59.82,66.4,0.022988663,0.029411765
Scorpion,Scorpion S-5028-220KV (F3A Limited Series),220,2590,,,0.98,32,576,60,59.8,0.028773398,0.03125
Scorpion,Scorpion SII-5535-160KV,160,3750,,,1.11,27,906,69.52,66.4,0.026193022,0.037037037
Scorpion,Scorpion SII-5535-190KV,190,3900,,,1.24,22,906,69.52,66.4,0.026647039,0.045454545
Scorpion,Scorpion SII-6530-180KV,180,4884,,,1.26,22,1043,70.4,76.6,0.02016705,0.045454545
Scorpion,Scorpion SII-6530-150KV,150,4220,,,1.15,32,1043,70.4,76.6,0.019802693,0.03125
